Competency,Topic,Sub-topic,Level,learning_objective
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Foundational (F),"Summarize Critical Thinking and fundamental concepts including: conclusions and decisions, beliefs and claims, finding of evidence, evaluating evidence, inferring and inferences, facts and opinions, facts and probable truths, false and probably false, facts/probably true/probably false, Venn diagrams, logical connectives, arguments, valid and invalid arguments, fallacies, and analogy argument"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Foundational (F),"Compare/Contrast the following types of biases: cognitive, conformity, affinity, attribution, confirmation, implicit, halo effect, horns effect, contrast effect"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Application (A),Identifies and compensates for bias when performing analysis tasks
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Application (A),"Select (identifies, locates, and obtains) essential information efficiently and effectively"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Application (A),"Separate (identifies, defines, and decomposes) problems into parts to facilitate a search for a solution"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Application (A),Produce ideas about a given topic and apply old ideas to new situations or in new combinations
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Application (A),Interpret and apply (synthesize and integrate) information into meaningful concepts and ideas
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Application (A),"Interpret a set of facts, discern patterns or trends, and differentiate the consequences of action relevant to the user"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Mastery/UGP (M/U),"Demonstrate analytical critical thinking skills – Consider an issue, problem, set of data, or a text. Evaluate information, its meaning and representation by: asking thoughtful questions, data analysis, information seeking, judgement, questioning evidence, recognizing difference and similarities and skepticism"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Mastery/UGP (M/U),"Demonstrate communication critical thinking skills – Relate your conclusions with employers or with a group of colleagues. Communicate with others to share ideas. Work with others and communicate effectively to evaluate and develop solutions to complex problems by: asking important questions, assessment, collaboration/teamwork, explanation, expressing opinions and ideas, interpersonal, presentation, verbal communication, and written communication"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Mastery/UGP (M/U),"Demonstrate creativity - Critical thinking involves some level of creativity. Determine patterns in the information or design an innovative solution by: cognitive flexibility, conceptualization, curiosity, imagination, prediction, foresight making abstract connections, making inferences, and being visionary"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Mastery/UGP (M/U),"Demonstrating open-mindedness - Put aside any assumptions or judgments and merely evaluate the information received. Be objective, evaluate ideas without bias by: embracing different cultural perspectives, humility, being inclusive, objectivity, observative, reflection, and fairness"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Critical Thinking,null,Mastery/UGP (M/U)," Demonstration problem Solving – Evaluate a problem, develop a solution, plan to implement, and verify with a follow-up assessment by: applying standards, attention to detail, clarification, decision making, evaluation, groundedness, identifying patterns, innovation, and use of logical reasoning"
CROSS-FUNCTIONAL KNOWLEDGE & SKILLS,Reporting,null,Foundational (F),"Compile written reports that are: relevant, organized logically, accurate, and succinct"
