area,theme,topic,learning_objective
Analytics and Modeling,Analysis of Errors & Uncertainty,Fuzzy Aggregation Operators,
Analytics and Modeling,Analysis of Errors & Uncertainty,Mathematical Models of Uncertainty,Compute descriptive statistics and geostatistics of geographic data
Analytics and Modeling,Analysis of Errors & Uncertainty,Mathematical Models of Uncertainty,Describe the basic principles of randomness and probability
Analytics and Modeling,Analysis of Errors & Uncertainty,Mathematical Models of Uncertainty,Devise simple ways to represent probability information in GIS
Analytics and Modeling,Analysis of Errors & Uncertainty,Mathematical Models of Uncertainty,Interpret descriptive statistics and geostatistics of geographic data
Analytics and Modeling,Analysis of Errors & Uncertainty,Mathematical Models of Uncertainty,Recognize the assumptions underlying probability and geostatistics and the situations in which they are useful analytical tools
Analytics and Modeling,Analysis of Errors & Uncertainty,"Problems of Currency, Source, and Scale","Describe the problem of conflation associated with aggregation of data collected at different times, from different sources, and to different scales and accuracy requirements"
Analytics and Modeling,Analysis of Errors & Uncertainty,"Problems of Currency, Source, and Scale",Explain how geostatistical techniques might be used to address such problems
Analytics and Modeling,Analysis of Errors & Uncertainty,Problems of Scale & Zoning,Define the ecological fallacy.
Analytics and Modeling,Analysis of Errors & Uncertainty,Problems of Scale & Zoning,Define the modifiable areal unit problem (MAUP) and describe its effects on mapping and statistical analysis.
Analytics and Modeling,Analysis of Errors & Uncertainty,Problems of Scale & Zoning,"Describe approaches for addressing problems of scale and zoning, including data disaggregation, ecological inference, and multi-scale analysis."
Analytics and Modeling,Analysis of Errors & Uncertainty,Problems of Scale & Zoning,Describe how punctiform and continuous spatial data may be represented by exhaustively partitioning regions into sets of non-overlapping spatial units.
Analytics and Modeling,Analysis of Errors & Uncertainty,Problems of Scale & Zoning,Describe the issue of scale and zoning in different spatial partitioning schemes.
Analytics and Modeling,Analysis of Errors & Uncertainty,Propagation of Error in Geospatial Modeling,"Compare and contrast error propagation techniques (e.g., Taylor, Monte Carlo)"
Analytics and Modeling,Analysis of Errors & Uncertainty,Propagation of Error in Geospatial Modeling,"Explain how some operations can exacerbate error while others dampen it (e.g., mean filter)"
Analytics and Modeling,Analysis of Errors & Uncertainty,Theory of Error Propagation,Describe stochastic error models
Analytics and Modeling,Analysis of Errors & Uncertainty,Theory of Error Propagation,Exemplify stochastic error models used in GIScience
Analytics and Modeling,Big Data & Geospatial Analysis,Artificial Intelligence Approaches,Describe an example application of AI in geography.
Analytics and Modeling,Big Data & Geospatial Analysis,Artificial Intelligence Approaches,"Describe the relations among AI, machine learning, and deep learning."
Analytics and Modeling,Big Data & Geospatial Analysis,Artificial Intelligence Approaches,Explain the general concept of artificial intelligence.
Analytics and Modeling,Big Data & Geospatial Analysis,Artificial Intelligence Approaches,Explain the main difference between supervised learning and unsupervised learning.
